181,कालिन्दीभेदन,1.1.24,1.1.24.2.3,पुं.,स्वर्गवर्गः,बलभद्रः
182,बल,1.1.24,1.1.24.2.4,पुं.,स्वर्गवर्गः,बलभद्रः
183,मदन,1.1.25,1.1.25.1.1,पुं.,स्वर्गवर्गः,कामदेवः
184,मन्मथ,1.1.25,1.1.25.1.2,पुं.,स्वर्गवर्गः,कामदेवः
185,मार,1.1.25,1.1.25.1.3,पुं.,स्वर्गवर्गः,कामदेवः
186,प्रद्युम्न,1.1.25,1.1.25.1.4,पुं.,स्वर्गवर्गः,कामदेवः
187,मीनकेतन,1.1.25,1.1.25.1.5,पुं.,स्वर्गवर्गः,कामदेवः
188,कन्दर्प,1.1.25,1.1.25.2.1,पुं.,स्वर्गवर्गः,कामदेवः
189,दर्पक,1.1.25,1.1.25.2.2,पुं.,स्वर्गवर्गः,कामदेवः
190,अनङ्ग,1.1.25,1.1.25.2.3,पुं.,स्वर्गवर्गः,कामदेवः
191,काम,1.1.25,1.1.25.2.4,पुं.,स्वर्गवर्गः,कामदेवः
192,पञ्चशर,1.1.25,1.1.25.2.5,पुं.,स्वर्गवर्गः,कामदेवः
193,स्मर,1.1.25,1.1.25.2.6,पुं.,स्वर्गवर्गः,कामदेवः
194,शम्बरारि,1.1.26,1.1.26.1.1,पुं.,स्वर्गवर्गः,कामदेवः
195,मनसिज,1.1.26,1.1.26.1.2,पुं.,स्वर्गवर्गः,कामदेवः
196,कुसुमेषु,1.1.26,1.1.26.1.3,पुं.,स्वर्गवर्गः,कामदेवः
197,अनन्यज,1.1.26,1.1.26.1.4,पुं.,स्वर्गवर्गः,कामदेवः
198,पुष्पधन्वन्,1.1.26,1.1.26.2.1,पुं.,स्वर्गवर्गः,कामदेवः
199,रतिपति,1.1.26,1.1.26.2.2,पुं.,स्वर्गवर्गः,कामदेवः
200,मकरध्वज,1.1.26,1.1.26.2.3,पुं.,स्वर्गवर्गः,कामदेवः
201,आत्मभू,1.1.26,1.1.26.2.4,पुं.,स्वर्गवर्गः,कामदेवः
202,अरविन्द,1.1.26,1.1.26.3.1,नपुं.,स्वर्गवर्गः,कामबाणः
203,अशोक,1.1.26,1.1.26.3.2,नपुं.,स्वर्गवर्गः,कामबाणः
204,चूत,1.1.26,1.1.26.3.3,पुं.,स्वर्गवर्गः,कामबाणः
205,नवमल्लिका,1.1.26,1.1.26.3.4,स्त्री.,स्वर्गवर्गः,कामबाणः
206,नीलोत्पल,1.1.26,1.1.26.4.1,नपुं.,स्वर्गवर्गः,कामबाणः
207,पञ्चबाण,1.1.26,1.1.26.4.2,पुं.,स्वर्गवर्गः,कामदेवः
208,उन्मादन,1.1.26,1.1.26.5.1,नपुं.,स्वर्गवर्गः,कामबाणः
209,तापन,1.1.26,1.1.26.5.2,नपुं.,स्वर्गवर्गः,कामबाणः
210,शोषण,1.1.26,1.1.26.5.3,नपुं.,स्वर्गवर्गः,कामबाणः
211,स्तम्भन,1.1.26,1.1.26.5.4,नपुं.,स्वर्गवर्गः,कामबाणः
212,सम्मोहन,1.1.26,1.1.26.6.1,नपुं.,स्वर्गवर्गः,कामबाणः
213,काम,1.1.26,1.1.26.6.2,पुं.,स्वर्गवर्गः,कामदेवः
214,ब्रह्मसू,1.1.27,1.1.27.1.1,पुं.,स्वर्गवर्गः,कामदेवः
215,विश्वकेतु,1.1.27,1.1.27.1.2,पुं.,स्वर्गवर्गः,कामदेवः
216,अनिरुद्ध,1.1.27,1.1.27.1.3,पुं.,स्वर्गवर्गः,अनिरुद्धः
217,उषापति,1.1.27,1.1.27.1.4,पुं.,स्वर्गवर्गः,अनिरुद्धः
218,लक्ष्मी,1.1.27,1.1.27.2.1,स्त्री.,स्वर्गवर्गः,लक्ष्मी
219,पद्मालया,1.1.27,1.1.27.2.2,स्त्री.,स्वर्गवर्गः,लक्ष्मी
220,पद्मा,1.1.27,1.1.27.2.3,स्त्री.,स्वर्गवर्गः,लक्ष्मी
221,कमला,1.1.27,1.1.27.2.4,स्त्री.,स्वर्गवर्गः,लक्ष्मी
222,श्री,1.1.27,1.1.27.2.5,स्त्री.,स्वर्गवर्गः,लक्ष्मी
223,हरिप्रिया,1.1.27,1.1.27.2.6,स्त्री.,स्वर्गवर्गः,लक्ष्मी
224,इन्दिरा,1.1.27,1.1.27.3.1,स्त्री.,स्वर्गवर्गः,लक्ष्मी
225,लोकमातृ,1.1.27,1.1.27.3.2,स्त्री.,स्वर्गवर्गः,लक्ष्मी
226,मा,1.1.27,1.1.27.3.3,स्त्री.,स्वर्गवर्गः,लक्ष्मी
227,क्षीरोदतनया,1.1.27,1.1.27.3.4,स्त्री.,स्वर्गवर्गः,लक्ष्मी
228,रमा,1.1.27,1.1.27.3.5,स्त्री.,स्वर्गवर्गः,लक्ष्मी
229,भार्गवी,1.1.27,1.1.27.4.1,स्त्री.,स्वर्गवर्गः,लक्ष्मी
230,लोकजननी,1.1.27,1.1.27.4.2,स्त्री.,स्वर्गवर्गः,लक्ष्मी
231,क्षीरसागरकन्यका,1.1.27,1.1.27.4.3,स्त्री.,स्वर्गवर्गः,लक्ष्मी
232,लक्ष्मीपति,1.1.28,1.1.28.1.1,पुं.,स्वर्गवर्गः,विष्णुः
233,पाञ्चजन्य,1.1.28,1.1.28.1.2,पुं.,स्वर्गवर्गः,विष्णुशङ्खः
234,सुदर्शन,1.1.28,1.1.28.1.3,पुं-नपुं.,स्वर्गवर्गः,विष्णुचक्रम्
235,कौमोदकी,1.1.28,1.1.28.2.1,स्त्री.,स्वर्गवर्गः,विष्णुगदा
236,नन्दक,1.1.28,1.1.28.2.2,पुं.,स्वर्गवर्गः,विष्णुखड्गः
237,कौस्तुभ,1.1.28,1.1.28.2.3,पुं.,स्वर्गवर्गः,विष्णोः मणिः
238,शार्ङ्ग,1.1.28,1.1.28.3.1,पुं.,स्वर्गवर्गः,विष्णुचापः
239,मुरारि,1.1.28,1.1.28.3.2,पुं.,स्वर्गवर्गः,विष्णुः
240,श्रीवत्स,1.1.28,1.1.28.3.3,पुं.,स्वर्गवर्गः,विष्णुलाञ्छनम्
241,शैव्य,1.1.28,1.1.28.4.1,पुं.,स्वर्गवर्गः,विष्णोः अश्वः
242,सुग्रीव,1.1.28,1.1.28.4.2,पुं.,स्वर्गवर्गः,विष्णोः अश्वः
243,मेघपुष्प,1.1.28,1.1.28.4.3,नपुं.,स्वर्गवर्गः,विष्णोः अश्वः
244,बलाहक,1.1.28,1.1.28.4.4,पुं.,स्वर्गवर्गः,विष्णोः अश्वः
245,दारुक,1.1.28,1.1.28.5.1,पुं.,स्वर्गवर्गः,विष्णोः सारथिः
246,उद्धव,1.1.28,1.1.28.5.2,पुं.,स्वर्गवर्गः,विष्णोः मन्त्रिः
247,गद,1.1.28,1.1.28.5.3,पुं.,स्वर्गवर्गः,कृष्णानुजः
248,गरुत्मत्,1.1.29,1.1.29.1.1,पुं.,स्वर्गवर्गः,गरुडः
249,गरुड,1.1.29,1.1.29.1.2,पुं.,स्वर्गवर्गः,गरुडः
250,तार्क्ष्य,1.1.29,1.1.29.1.3,पुं.,स्वर्गवर्गः,गरुडः
251,वैनतेय,1.1.29,1.1.29.1.4,पुं.,स्वर्गवर्गः,गरुडः
252,खगेश्वर,1.1.29,1.1.29.1.5,पुं.,स्वर्गवर्गः,गरुडः
253,नागान्तक,1.1.29,1.1.29.2.1,पुं.,स्वर्गवर्गः,गरुडः
254,विष्णुरथ,1.1.29,1.1.29.2.2,पुं.,स्वर्गवर्गः,गरुडः
255,सुपर्ण,1.1.29,1.1.29.2.3,पुं.,स्वर्गवर्गः,गरुडः
256,पन्नगाशन,1.1.29,1.1.29.2.4,पुं.,स्वर्गवर्गः,गरुडः
257,शम्भु,1.1.30,1.1.30.1.1,पुं.,स्वर्गवर्गः,शिवः
258,ईश,1.1.30,1.1.30.1.2,पुं.,स्वर्गवर्गः,शिवः
259,पशुपति,1.1.30,1.1.30.1.3,पुं.,स्वर्गवर्गः,शिवः
260,शिव,1.1.30,1.1.30.1.4,पुं.,स्वर्गवर्गः,शिवः
261,शूलिन्,1.1.30,1.1.30.1.5,पुं.,स्वर्गवर्गः,शिवः
262,महेश्वर,1.1.30,1.1.30.1.6,पुं.,स्वर्गवर्गः,शिवः
263,ईश्वर,1.1.30,1.1.30.2.1,पुं.,स्वर्गवर्गः,शिवः
264,शर्व,1.1.30,1.1.30.2.2,पुं.,स्वर्गवर्गः,शिवः
265,ईशान,1.1.30,1.1.30.2.3,पुं.,स्वर्गवर्गः,शिवः
266,शङ्कर,1.1.30,1.1.30.2.4,पुं.,स्वर्गवर्गः,शिवः
267,चन्द्रशेखर,1.1.30,1.1.30.2.5,पुं.,स्वर्गवर्गः,शिवः
268,भूतेश,1.1.31,1.1.31.1.1,पुं.,स्वर्गवर्गः,शिवः
269,खण्डपरशु,1.1.31,1.1.31.1.2,पुं.,स्वर्गवर्गः,शिवः
270,गिरीश,1.1.31,1.1.31.1.3,पुं.,स्वर्गवर्गः,शिवः
